id,name,link,price,city,date,seller_name
6528822,"8.gen i5-ös Lenovo notebook (i5, 250 GB SSD, 8 GB FHD) világítós billentyűvel! AkciÓÓ!",https://hardverapro.hu/apro/lenovo_yoga_530_fhd_8gb_120gb_m_2_tablet_laptop_ak/hsz_1-50.html,69 066 Ft,V. kerület, 2024-04-22 14:59,parlamentpc
6539248,Dell Inspiron 3537 használt laptop,https://hardverapro.hu/apro/dell_inspiron_3537_hasznalt_laptop/hsz_1-50.html,30 000 Ft,XV. kerület, 2024-05-01 08:42,turkdori
6129887,"HP, Lenovo, Dell, és egyéb laptop. tartozékok, kiegészítők, stb",https://hardverapro.hu/apro/hp_lenovo_dell_es_egyeb_laptop_tartozekok_kiegeszi/hsz_1-50.html,4 000 Ft,VI. kerület, 2023-07-01 14:07,cosman
6511748,Érkezés alatt! - Surface Book 3 KIMAXOLT - i7 32GB RAM 1TB SSD GTX 1660 Ti 6GB 4K laptop-tablet,https://hardverapro.hu/apro/erkezes_alatt_surface_book_3_kimaxolt_i7_32gb_ram/hsz_1-50.html,449 990 Ft,"Budaörs, ...", 2024-04-09 10:31,Malák
6513186,Dell latitude E6440,https://hardverapro.hu/apro/dell_latitude_e6440_gq7b/hsz_1-50.html,35 000 Ft,XVII. kerület, 2024-04-10 13:35,Hornetx
6547963,"HP Probook 440 G5 (8 th.gen i5, 256 ssd, 8 GB, FHD) AkciÓÓ!",https://hardverapro.hu/apro/hp_probook_440_g5_8_th_gen_i5_256_ssd_8_gb_fhd_akc/hsz_1-50.html,64 990 Ft,V. kerület, 2024-05-08 13:17,parlamentpc
6419407,Full HD Lenovo Thinkpad T490 Touch 4 magos Intel I5-8365U WIN11 16Gb Ddr4 256Gb SSD,https://hardverapro.hu/apro/full_hd_lenovo_thinkpad_t490_touch_4_magos_intel_i/hsz_1-50.html,89 999 Ft,"Budapest, ...", 2024-02-01 23:24,univerzum78
6546269,HP EliteBook 830 G7 i7-10510U 16GB RAM 512GB SSD világító MAGYAR billentyűzet,https://hardverapro.hu/apro/hp_elitebook_830_g7_i7-10510u_16gb_ram_512gb_ssd_v_2/hsz_1-50.html,200 000 Ft,Budapest, 2024-05-07 07:48,Makkocska29
6510663,"Laptop INVÁZIÓ!13,3""-14,1"",15,6"",17,3"", Ryzen,i3,i5,i7, játékosok, érintősök is!",https://hardverapro.hu/apro/ultrabook_invazio_13_3_14_1_ryzen_i3_i5_i7_erintos/hsz_1-50.html,29 800 Ft,Székesfehérvár, 2024-04-08 13:07,TTOTTO
6112874,"Eladó Lenovo, HP, Dell laptop billentyűzetek",https://hardverapro.hu/apro/elado_lenovo_hp_dell_laptop_billentyuzetek_vv2q/hsz_1-50.html,4 000 Ft,VI. kerület, 2023-06-17 13:23,cosman
6559021,"FHD 6.gen i5, Dell Latitude E5570 notebook olcsón!!!AkciÓÓ!",https://hardverapro.hu/apro/fhd_6_gen_i5_dell_latitude_e5570_notebook_olcson_a/hsz_1-50.html,51 600 Ft,V. kerület, 2024-05-17 16:59,parlamentpc
6513389,Lenovo Legion Y740-17IRH,https://hardverapro.hu/apro/lenovo_legion_y740-17irh/hsz_1-50.html,240 000 Ft,XVII. kerület, 2024-04-10 15:51,Hornetx
6502749,Dell WD19TB + 180W,https://hardverapro.hu/apro/dell_wd19tb_180w/hsz_1-50.html,39 000 Ft,Budapest, 2024-04-02 09:44,Szlupi
6372973,HD felbontású olcsó Lenovo Thinkapd T450 laptop leárazás! AkciÓÓ!,https://hardverapro.hu/apro/a_legolcsobb_acer_fhd_ryzen_cpu_notebook_kiarusita/hsz_1-50.html,49 992 Ft,V. kerület, 2024-01-02 15:57,parlamentpc
6502835,"14""-os 4.gen core i5 Dell notebook kiárusítás!AkciÓÓ!",https://hardverapro.hu/apro/14_os_4_gen_core_i5_dell_notebook_kiarusitas_akcio_5/hsz_1-50.html,44 990 Ft,V. kerület, 2024-04-02 11:02,parlamentpc
6374198,Érintőképernyős kisfogyasztású Asus netbook 120 GB SSD-vel!!AkciÓÓ!,https://hardverapro.hu/apro/epson_svga_projektor_learazas_akcioo/hsz_1-50.html,44 990 Ft,V. kerület, 2024-01-03 12:46,parlamentpc
6556481,"Lenovo Thinkpad L380 (i5 8th, 16 GB , 500 GB SSD) AkciÓÓ!",https://hardverapro.hu/apro/apple_imac_13_1_21_a1418_i5_8_gb_128ssd_geforce_64/hsz_1-50.html,59 990 Ft,V. kerület, 2024-05-15 14:58,parlamentpc
6195146,"HP EliteBook , ProBook, Pavilion ,stb bontás,lista a leírásban.",https://hardverapro.hu/apro/hp_elitebook_probook_pavilion_stb_bontas_lista_a_l/hsz_1-50.html,100 Ft,Debrecen, 2023-08-24 06:38,marksaiid
4810745,Laptopok bontásON!,https://hardverapro.hu/apro/laptopok_bontason_23/hsz_1-50.html,1 000 Ft,XXIII. kerület, 2020-09-24 18:47,szabotoni
6515923,Lenovo Ideapad 3 Notebook 15ARE05 (garis),https://hardverapro.hu/apro/lenovo_ideapad_3_notebook_15are05_garis/hsz_1-50.html,90 000 Ft,XVI. kerület, 2024-04-12 16:43,Zalcsó
6555054,"Gamer! FHD Dell (i7 quad, 2 GB Radeon, 250 SSD, 16 GB) notebook olcsón!!!",https://hardverapro.hu/apro/gamer_fhd_dell_i7_quad_2_gb_radeon_250_ssd_16_gb_n/hsz_1-50.html,63 990 Ft,V. kerület, 2024-05-14 12:25,parlamentpc
6548068,"HP Elitebook 820 G3 (6.gen i7, 512 ssd, 8 GB, FHD) AkciÓÓ!",https://hardverapro.hu/apro/hp_elitebook_820_g3_6_gen_i7_512_ssd_8_gb_fhd_akci/hsz_1-50.html,62 330 Ft,V. kerület, 2024-05-08 14:41,parlamentpc
6502840,"Fémházas 14 ""-os HP Elitebook (i5, 8 GB ,SSD) leárazás! AkciÓÓ!",https://hardverapro.hu/apro/femhazas_14_os_hp_elitebook_i5_8_gb_ssd_learazas_a/hsz_1-50.html,44 666 Ft,V. kerület, 2024-04-02 11:04,parlamentpc
6311180,Eladó DELL E-Port II Pro3X és E-Port K07A dokkolók opcionális 65/130W-os táppal,https://hardverapro.hu/apro/elado_dell_e-port_ii_pro3x_es_e-port_k07a_dokkolok/hsz_1-50.html,990 Ft,"XIV. kerület, ...", 2023-11-19 13:25,gabi123
6522585,"Gamer Bontatlan Magyar Lenovo LOQ i7-13620H RTX4050 16 GB 512GB 15,6"" 165Hz WQHD 3 év gar",https://hardverapro.hu/apro/gamer_bontatlan_magyar_lenovo_loq_i7-13620h_rtx405/hsz_1-50.html,380 000 Ft,Budapest, 2024-04-17 19:33,tormii
6518000,Samsung NP350U2B ultrabook,https://hardverapro.hu/apro/samsung_np350u2b_ultrabook/hsz_1-50.html,30 000 Ft,Székesfehérvár, 2024-04-14 15:28,𝐉𝐚𝐬𝐨𝐧𝐗
6528477,"Érintős Acer keszdő gamer notebook (i5, 2 GB Radeon 120 SSD/8GB) kiárusítás!!!AKCIÓ!!!",https://hardverapro.hu/apro/erintos_acer_keszdo_gaer_notebook_i5_2_gb_radeon_1/hsz_1-50.html,59 990 Ft,V. kerület, 2024-04-22 11:30,parlamentpc
5159004,"Eladó Dell DW5811e, DW5820e, DW5821e 4G mobilnet kártyák!",https://hardverapro.hu/apro/elado_dell_dw5811e_4g_mobilnet_kartyak/hsz_1-50.html,7 000 Ft,Budapest, 2021-06-16 16:23,somasz
6502956,"Lenovo ThinkPad X1 Yoga Gen 6 (i7 1185G7, 32 GB RAM, 512 GB SSD, garancia)",https://hardverapro.hu/apro/lenovo_thinkpad_x1_yoga_gen_6_i7_1185g7_32_gb_ram/hsz_1-50.html,319 000 Ft,Budapest, 2024-04-02 12:10,fronde
6270060,"Dell Latitude E5430 (i5, 120 GB SSD, 8 GB ) leárazás!!! AkciÓÓ",https://hardverapro.hu/apro/extra_vekony_vilagito_billentyuzet_i5-os_samsung_u_3/hsz_1-50.html,34 989 Ft,V. kerület, 2023-10-21 11:05,parlamentpc
6437141,HP Thunderbolt G4 Dock,https://hardverapro.hu/apro/0003/hsz_1-50.html,40 000 Ft,III. kerület, 2024-02-13 18:36,amol
6553931,"Kezdő gamer Dell noti (i7, 16 GB ,256 SSD, 2 GB VGA) AkciÓÓ!",https://hardverapro.hu/apro/kezdo_gamer_dell_noti_i7_16_gb_256_ssd_2_gb_vga_ak/hsz_1-50.html,64 990 Ft,V. kerület, 2024-05-13 13:54,parlamentpc
